City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
0,Binga,ZW,-17.62,27.34,57.27,64,0,1.05,clear sky,0.0,0.0
1,Rocha,UY,-34.48,-54.33,57.7,93,98,7.23,overcast clouds,0.0,0.0
2,Camacha,PT,33.08,-16.33,69.8,73,40,10.29,scattered clouds,0.0,0.0
3,Qaanaaq,GL,77.48,-69.36,39.47,72,27,3.69,scattered clouds,0.0,0.0
4,Tonekabon,IR,36.82,50.87,77.0,61,0,2.24,clear sky,0.0,0.0
5,Praia Da Vitoria,PT,38.73,-27.07,69.8,77,40,10.0,scattered clouds,0.0,0.0
6,Sorland,NO,67.67,12.69,61.72,64,52,9.78,broken clouds,0.0,0.0
7,Puerto Ayora,EC,-0.74,-90.35,75.2,73,20,20.8,few clouds,0.0,0.0
8,East London,ZA,-33.02,27.91,62.91,66,0,11.34,clear sky,0.0,0.0
9,Cidreira,BR,-30.18,-50.21,71.19,72,48,7.81,scattered clouds,0.0,0.0
10,Ushuaia,AR,-54.8,-68.3,37.4,90,24,6.93,few clouds,0.0,0.0
11,Imbituba,BR,-28.24,-48.67,73.4,69,1,4.5,clear sky,0.0,0.0
12,Sabzevar,IR,36.21,57.68,74.95,32,0,3.8,clear sky,0.0,0.0
13,Port Alfred,ZA,-33.59,26.89,60.01,90,3,3.0,clear sky,0.0,0.0
14,Castro,BR,-24.79,-50.01,59.43,83,0,3.22,clear sky,0.0,0.0
15,Mahebourg,MU,-20.41,57.7,69.8,77,75,11.41,shower rain,0.0,0.0
16,Acobamba,PE,-11.35,-75.66,58.06,55,59,7.38,broken clouds,0.0,0.0
17,Veraval,IN,20.9,70.37,84.34,79,97,16.49,light rain,0.39,0.0
18,Belmonte,BR,-15.86,-38.88,75.2,64,0,5.82,clear sky,0.0,0.0
19,Marsh Harbour,BS,26.54,-77.06,82.29,75,100,7.76,light rain,0.28,0.0
20,Hermanus,ZA,-34.42,19.23,54.0,91,62,5.75,broken clouds,0.0,0.0
21,Hithadhoo,MV,-0.6,73.08,83.44,69,29,4.63,scattered clouds,0.0,0.0
22,Boromo,BF,11.75,-2.93,87.96,40,23,5.48,few clouds,0.0,0.0
23,Busselton,AU,-33.65,115.33,57.99,54,23,21.18,few clouds,0.0,0.0
24,Saint-Philippe,RE,-21.36,55.77,68.0,77,43,8.05,scattered clouds,0.0,0.0
25,Candelaria,PH,13.93,121.42,78.01,93,99,2.75,overcast clouds,0.0,0.0
26,Marathon,US,44.9,-89.77,77.0,57,20,9.17,few clouds,0.0,0.0
27,Ponta Do Sol,PT,32.67,-17.1,69.8,73,40,16.11,scattered clouds,0.0,0.0
28,La Plata,AR,-34.92,-57.95,57.99,69,0,1.99,clear sky,0.0,0.0
29,Carballo,ES,43.21,-8.69,61.0,88,46,1.01,scattered clouds,0.0,0.0
30,Jamestown,US,42.1,-79.24,84.2,39,1,3.36,clear sky,0.0,0.0
31,Kekri,IN,25.97,75.15,91.53,45,34,9.78,scattered clouds,0.0,0.0
32,Vardo,NO,70.37,31.11,44.6,87,20,2.24,few clouds,0.0,0.0
33,Luderitz,NA,-26.65,15.16,53.6,93,0,3.36,clear sky,0.0,0.0
34,Campobasso,IT,41.63,14.58,59.0,94,20,4.81,few clouds,0.0,0.0
35,Hamilton,US,39.18,-84.53,77.0,78,75,2.77,broken clouds,0.0,0.0
36,Chapadinha,BR,-3.74,-43.36,75.09,75,5,1.74,clear sky,0.0,0.0
37,Nanortalik,GL,60.14,-45.24,44.74,72,100,11.43,overcast clouds,0.0,0.0
38,Grand Gaube,MU,-20.01,57.66,70.0,80,58,5.99,broken clouds,0.0,0.0
39,Lagoa,PT,39.05,-27.98,66.02,85,0,18.77,clear sky,0.0,0.0
40,Ribeira Grande,PT,38.52,-28.7,66.51,86,2,13.82,clear sky,0.0,0.0
41,Ilulissat,GL,69.22,-51.1,48.2,49,59,5.82,broken clouds,0.0,0.0
42,Grootfontein,NA,-19.57,18.12,46.67,53,0,4.85,clear sky,0.0,0.0
