City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
4,Tonekabon,IR,77.0,36.82,50.87,clear sky,Hotel Sadra
7,Puerto Ayora,EC,75.2,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
18,Belmonte,BR,75.2,-15.86,-38.88,clear sky,Pousada Monte Carmelo O Pão
21,Hithadhoo,MV,83.44,-0.6,73.08,scattered clouds,Scoop Guest House
22,Boromo,BF,87.96,11.75,-2.93,few clouds,Sama Camp
25,Candelaria,PH,78.01,13.93,121.42,overcast clouds,Casa de Provincia
26,Marathon,US,77.0,44.9,-89.77,few clouds,
30,Jamestown,US,84.2,42.1,-79.24,clear sky,Hampton Inn & Suites Jamestown
35,Hamilton,US,77.0,39.18,-84.53,broken clouds,Six Acres Bed & Breakfast
36,Chapadinha,BR,75.09,-3.74,-43.36,clear sky,Chapadinhense Hotel
47,Arraial Do Cabo,BR,77.0,-22.97,-42.03,clear sky,Pousada Porto Praia
52,Atlantic City,US,82.4,39.36,-74.42,clear sky,Courtyard by Marriott Atlantic City Beach Block
56,Mogadishu,SO,79.12,2.04,45.34,overcast clouds,Hotel Juba
57,Najran,SA,82.4,17.49,44.13,overcast clouds,محمد هادي ال فطيح
58,Elizabeth City,US,84.99,36.29,-76.25,scattered clouds,Hampton Inn Elizabeth City
61,Barao De Melgaco,BR,89.6,-16.19,-55.97,clear sky,Tuiuiu Pantanal Hotel
66,Cockburn Town,TC,86.0,21.46,-71.14,scattered clouds,Osprey Beach Hotel
70,Georgetown,MY,80.6,5.41,100.34,few clouds,Cititel Penang
72,Bata,GQ,76.59,1.86,9.77,scattered clouds,Hotel Carmen
73,Bathsheba,BB,84.2,13.22,-59.52,haze,Atlantis Hotel
74,Saint Anthony,US,80.6,45.02,-93.22,clear sky,Holiday Inn Express Roseville-St. Paul
75,Koungou,YT,78.8,-12.73,45.2,overcast clouds,Villa Netibor
76,Calabozo,VE,82.53,8.92,-67.43,scattered clouds,Hotel Giardini
82,Goderich,CA,84.99,43.75,-81.72,overcast clouds,Harmony Inn
89,Cayenne,GF,82.4,4.93,-52.33,few clouds,Hôtel Le Dronmi
91,Aliganj,IN,87.12,27.5,79.18,clear sky,Rajpoot Hotel and Shiv Sankar Dhaba
93,Vila Velha,BR,75.2,-20.33,-40.29,clear sky,Hotel Vitória Palace
94,Maragogi,BR,76.19,-9.01,-35.22,clear sky,Salinas do Maragogi All Inclusive Resort
101,Olinda,BR,80.6,-8.01,-34.86,scattered clouds,Hotel 5 Sóis
107,Bonthe,SL,79.34,7.53,-12.51,overcast clouds,Bonthe Holiday Village
112,Santa Rosa De Aguan,HN,85.6,15.95,-85.72,clear sky,
113,Sao Jose Da Coroa Grande,BR,76.46,-8.9,-35.15,clear sky,Crôa Mares Hotel
119,Batticaloa,LK,83.05,7.71,81.69,overcast clouds,Grand Star Guest House
120,Conceicao Do Araguaia,BR,86.0,-8.26,-49.26,scattered clouds,Tarumã Tropical Hotel
132,Andros Town,BS,86.0,24.7,-77.77,thunderstorm,Hanks place
134,Sao Filipe,CV,76.19,14.9,-24.5,clear sky,Tortuga B&B
136,Sinnamary,GF,79.3,5.38,-52.95,clear sky,ALETHEIA Appartement Sinnamary
138,Bilma,NE,86.27,18.69,12.92,clear sky,Expeditions Ténére voyages
140,Le Vauclin,MQ,84.2,14.55,-60.84,broken clouds,Hôtel Cap Macabou
