City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-06-18 20:39:41,73.51,80.55,273.68,97,87,7.57
1,Esperance,AU,2020-06-18 20:40:43,-33.87,121.9,281.15,93,28,5.1
2,Jamestown,US,2020-06-18 20:40:12,42.1,-79.24,299.26,54,40,4.6
3,Nanortalik,GL,2020-06-18 20:40:56,60.14,-45.24,277.62,80,95,2.84
4,Kahului,US,2020-06-18 20:37:14,20.89,-156.47,304.15,48,20,10.8
5,San Cristobal,VE,2020-06-18 20:40:53,7.77,-72.22,303.15,66,40,5.1
6,Clinton,US,2020-06-18 20:42:14,42.59,-82.92,303.71,48,40,1.5
7,Avarua,CK,2020-06-18 20:39:43,-21.21,-159.78,296.15,69,74,3.6
8,Sao Filipe,CV,2020-06-18 20:39:55,14.9,-24.5,300.29,61,0,5.54
9,Port Alfred,ZA,2020-06-18 20:39:55,-33.59,26.89,287.04,78,0,2.24
10,Fairbanks,US,2020-06-18 20:39:27,64.84,-147.72,295.93,35,1,1.56
11,Georgetown,MY,2020-06-18 20:39:06,5.41,100.34,301.15,88,20,2.6
12,Albany,US,2020-06-18 20:35:03,42.6,-73.97,304.26,60,53,0.89
13,Neuquen,AR,2020-06-18 20:39:13,-38.95,-68.06,286.15,58,100,1.0
14,Sorland,NO,2020-06-18 20:40:53,67.67,12.69,281.87,85,0,10.67
15,Pytalovo,RU,2020-06-18 20:42:15,57.07,27.91,293.16,83,0,2.13
16,Tasiilaq,GL,2020-06-18 20:40:07,65.61,-37.64,280.15,70,100,21.6
17,Harnosand,SE,2020-06-18 20:40:18,62.63,17.94,292.04,82,0,1.5
18,Cape Town,ZA,2020-06-18 20:39:42,-33.93,18.42,292.04,58,0,4.1
19,Saint Anthony,US,2020-06-18 20:40:08,45.02,-93.22,302.59,54,20,4.6
20,Port Lavaca,US,2020-06-18 20:42:16,28.61,-96.63,307.15,59,75,5.7
21,Olafsvik,IS,2020-06-18 20:40:32,64.89,-23.71,282.71,74,98,6.3
22,Ormara,PK,2020-06-18 20:41:26,25.21,64.64,301.98,84,8,3.49
23,Nikolskoye,RU,2020-06-18 20:39:50,59.7,30.79,293.15,72,75,1.0
24,Punta Arenas,CL,2020-06-18 20:39:21,-53.15,-70.92,277.15,86,90,6.7
25,Polson,US,2020-06-18 20:39:47,47.69,-114.16,292.59,59,8,0.45
26,Novoaleksandrovsk,RU,2020-06-18 20:42:17,45.49,41.22,291.38,70,11,4.11
27,Hobart,AU,2020-06-18 20:39:53,-42.88,147.33,277.15,93,75,2.1
28,Shinyanga,TZ,2020-06-18 20:42:18,-3.67,33.43,296.03,50,96,3.6
29,Mataura,NZ,2020-06-18 20:39:44,-46.19,168.86,277.04,83,0,1.34
30,Santa Luzia,BR,2020-06-18 20:42:18,-19.77,-43.85,294.15,64,20,3.1
31,Fasano,IT,2020-06-18 20:42:18,40.83,17.36,296.48,82,5,1.5
32,Sao Miguel Do Araguaia,BR,2020-06-18 20:42:19,-13.28,-50.16,298.11,58,4,1.86
33,Lethem,GY,2020-06-18 20:42:19,3.38,-59.8,301.52,79,67,1.27
34,Provideniya,RU,2020-06-18 20:40:49,64.38,-173.3,287.15,62,2,2.0
35,Tukrah,LY,2020-06-18 20:42:19,32.53,20.58,295.52,50,0,0.9
36,Dunmore,US,2020-06-18 20:42:20,41.42,-75.63,294.15,83,90,2.1
37,Port Moresby,PG,2020-06-18 20:42:04,-9.44,147.18,297.15,94,40,3.1
38,Kapaa,US,2020-06-18 20:39:55,22.08,-159.32,299.82,94,90,8.2
39,Aksarka,RU,2020-06-18 20:42:20,66.56,67.8,276.88,76,68,1.94
40,East London,ZA,2020-06-18 20:40:44,-33.02,27.91,290.77,65,0,6.94
41,Bluff,NZ,2020-06-18 20:40:14,-46.6,168.33,277.04,83,0,1.34
42,Brora,GB,2020-06-18 20:42:21,58.01,-3.85,287.15,82,100,5.1
43,Yellowknife,CA,2020-06-18 20:39:43,62.46,-114.35,292.04,55,20,6.7
